Econ,Glob,Loc,trial,subject,response_var
1,1,1,trial_1,subject_1,1
2,1,1,trial_2,subject_1,1
3,1,1,trial_3,subject_1,1
4,1,1,trial_4,subject_1,0
5,1,1,trial_5,subject_1,0
1,2,1,trial_6,subject_1,0
2,2,1,trial_7,subject_1,0
3,2,1,trial_8,subject_1,0
4,2,1,trial_9,subject_1,0
5,2,1,trial_10,subject_1,0
1,3,1,trial_11,subject_1,0
2,3,1,trial_12,subject_1,0
3,3,1,trial_13,subject_1,0
4,3,1,trial_14,subject_1,0
5,3,1,trial_15,subject_1,0
1,4,1,trial_16,subject_1,0
2,4,1,trial_17,subject_1,0
3,4,1,trial_18,subject_1,0
4,4,1,trial_19,subject_1,0
5,4,1,trial_20,subject_1,0
1,5,1,trial_21,subject_1,0
2,5,1,trial_22,subject_1,0
3,5,1,trial_23,subject_1,0
4,5,1,trial_24,subject_1,0
5,5,1,trial_25,subject_1,0
1,1,2,trial_26,subject_1,0
2,1,2,trial_27,subject_1,1
3,1,2,trial_28,subject_1,0
4,1,2,trial_29,subject_1,1
5,1,2,trial_30,subject_1,0
1,2,2,trial_31,subject_1,0
2,2,2,trial_32,subject_1,0
3,2,2,trial_33,subject_1,0
4,2,2,trial_34,subject_1,0
5,2,2,trial_35,subject_1,0
1,3,2,trial_36,subject_1,0
2,3,2,trial_37,subject_1,0
3,3,2,trial_38,subject_1,0
4,3,2,trial_39,subject_1,0
5,3,2,trial_40,subject_1,0
1,4,2,trial_41,subject_1,0
2,4,2,trial_42,subject_1,0
3,4,2,trial_43,subject_1,0
4,4,2,trial_44,subject_1,0
5,4,2,trial_45,subject_1,0
1,5,2,trial_46,subject_1,0
2,5,2,trial_47,subject_1,0
3,5,2,trial_48,subject_1,0
4,5,2,trial_49,subject_1,0
5,5,2,trial_50,subject_1,0
1,1,3,trial_51,subject_1,0
2,1,3,trial_52,subject_1,0
3,1,3,trial_53,subject_1,0
4,1,3,trial_54,subject_1,0
5,1,3,trial_55,subject_1,0
1,2,3,trial_56,subject_1,0
2,2,3,trial_57,subject_1,0
3,2,3,trial_58,subject_1,0
4,2,3,trial_59,subject_1,0
5,2,3,trial_60,subject_1,0
1,3,3,trial_61,subject_1,0
2,3,3,trial_62,subject_1,0
3,3,3,trial_63,subject_1,0
4,3,3,trial_64,subject_1,0
5,3,3,trial_65,subject_1,0
1,4,3,trial_66,subject_1,0
2,4,3,trial_67,subject_1,0
3,4,3,trial_68,subject_1,0
4,4,3,trial_69,subject_1,0
5,4,3,trial_70,subject_1,0
1,5,3,trial_71,subject_1,0
2,5,3,trial_72,subject_1,0
3,5,3,trial_73,subject_1,0
4,5,3,trial_74,subject_1,0
5,5,3,trial_75,subject_1,0
1,1,4,trial_76,subject_1,0
2,1,4,trial_77,subject_1,0
3,1,4,trial_78,subject_1,0
4,1,4,trial_79,subject_1,0
5,1,4,trial_80,subject_1,0
1,2,4,trial_81,subject_1,0
2,2,4,trial_82,subject_1,0
3,2,4,trial_83,subject_1,0
4,2,4,trial_84,subject_1,0
5,2,4,trial_85,subject_1,0
1,3,4,trial_86,subject_1,0
2,3,4,trial_87,subject_1,0
3,3,4,trial_88,subject_1,0
4,3,4,trial_89,subject_1,0
5,3,4,trial_90,subject_1,0
1,4,4,trial_91,subject_1,0
2,4,4,trial_92,subject_1,0
3,4,4,trial_93,subject_1,0
4,4,4,trial_94,subject_1,0
5,4,4,trial_95,subject_1,0
1,5,4,trial_96,subject_1,0
2,5,4,trial_97,subject_1,0
3,5,4,trial_98,subject_1,0
4,5,4,trial_99,subject_1,0
5,5,4,trial_100,subject_1,0
1,1,5,trial_101,subject_1,0
2,1,5,trial_102,subject_1,0
3,1,5,trial_103,subject_1,0
4,1,5,trial_104,subject_1,0
5,1,5,trial_105,subject_1,0
1,2,5,trial_106,subject_1,0
2,2,5,trial_107,subject_1,0
3,2,5,trial_108,subject_1,0
4,2,5,trial_109,subject_1,0
5,2,5,trial_110,subject_1,0
1,3,5,trial_111,subject_1,0
2,3,5,trial_112,subject_1,0
3,3,5,trial_113,subject_1,0
4,3,5,trial_114,subject_1,0
5,3,5,trial_115,subject_1,0
1,4,5,trial_116,subject_1,0
2,4,5,trial_117,subject_1,0
3,4,5,trial_118,subject_1,0
4,4,5,trial_119,subject_1,0
5,4,5,trial_120,subject_1,0
1,5,5,trial_121,subject_1,0
2,5,5,trial_122,subject_1,0
3,5,5,trial_123,subject_1,0
4,5,5,trial_124,subject_1,0
5,5,5,trial_125,subject_1,0
1,1,1,trial_1,subject_2,0
2,1,1,trial_2,subject_2,1
3,1,1,trial_3,subject_2,0
4,1,1,trial_4,subject_2,0
5,1,1,trial_5,subject_2,1
1,2,1,trial_6,subject_2,0
2,2,1,trial_7,subject_2,1
3,2,1,trial_8,subject_2,0
4,2,1,trial_9,subject_2,0
5,2,1,trial_10,subject_2,0
1,3,1,trial_11,subject_2,0
2,3,1,trial_12,subject_2,0
3,3,1,trial_13,subject_2,1
4,3,1,trial_14,subject_2,0
5,3,1,trial_15,subject_2,0
1,4,1,trial_16,subject_2,0
2,4,1,trial_17,subject_2,0
3,4,1,trial_18,subject_2,0
4,4,1,trial_19,subject_2,1
5,4,1,trial_20,subject_2,0
1,5,1,trial_21,subject_2,0
2,5,1,trial_22,subject_2,0
3,5,1,trial_23,subject_2,0
4,5,1,trial_24,subject_2,0
5,5,1,trial_25,subject_2,0
1,1,2,trial_26,subject_2,0
2,1,2,trial_27,subject_2,0
3,1,2,trial_28,subject_2,0
4,1,2,trial_29,subject_2,0
5,1,2,trial_30,subject_2,0
1,2,2,trial_31,subject_2,0
2,2,2,trial_32,subject_2,0
3,2,2,trial_33,subject_2,0
4,2,2,trial_34,subject_2,0
5,2,2,trial_35,subject_2,0
1,3,2,trial_36,subject_2,0
2,3,2,trial_37,subject_2,0
3,3,2,trial_38,subject_2,0
4,3,2,trial_39,subject_2,0
5,3,2,trial_40,subject_2,0
1,4,2,trial_41,subject_2,0
2,4,2,trial_42,subject_2,0
3,4,2,trial_43,subject_2,0
4,4,2,trial_44,subject_2,0
5,4,2,trial_45,subject_2,0
1,5,2,trial_46,subject_2,0
2,5,2,trial_47,subject_2,0
3,5,2,trial_48,subject_2,0
4,5,2,trial_49,subject_2,0
5,5,2,trial_50,subject_2,0
1,1,3,trial_51,subject_2,0
2,1,3,trial_52,subject_2,0
3,1,3,trial_53,subject_2,0
4,1,3,trial_54,subject_2,0
5,1,3,trial_55,subject_2,0
1,2,3,trial_56,subject_2,0
2,2,3,trial_57,subject_2,0
3,2,3,trial_58,subject_2,0
4,2,3,trial_59,subject_2,0
5,2,3,trial_60,subject_2,0
1,3,3,trial_61,subject_2,0
2,3,3,trial_62,subject_2,0
3,3,3,trial_63,subject_2,0
4,3,3,trial_64,subject_2,0
5,3,3,trial_65,subject_2,0
1,4,3,trial_66,subject_2,0
2,4,3,trial_67,subject_2,0
3,4,3,trial_68,subject_2,0
4,4,3,trial_69,subject_2,0
5,4,3,trial_70,subject_2,0
1,5,3,trial_71,subject_2,0
2,5,3,trial_72,subject_2,0
3,5,3,trial_73,subject_2,0
4,5,3,trial_74,subject_2,0
5,5,3,trial_75,subject_2,0
1,1,4,trial_76,subject_2,0
2,1,4,trial_77,subject_2,1
3,1,4,trial_78,subject_2,0
4,1,4,trial_79,subject_2,0
5,1,4,trial_80,subject_2,0
1,2,4,trial_81,subject_2,0
2,2,4,trial_82,subject_2,0
3,2,4,trial_83,subject_2,0
4,2,4,trial_84,subject_2,0
5,2,4,trial_85,subject_2,0
1,3,4,trial_86,subject_2,0
2,3,4,trial_87,subject_2,0
3,3,4,trial_88,subject_2,0
4,3,4,trial_89,subject_2,0
5,3,4,trial_90,subject_2,0
1,4,4,trial_91,subject_2,0
2,4,4,trial_92,subject_2,0
3,4,4,trial_93,subject_2,0
4,4,4,trial_94,subject_2,0
5,4,4,trial_95,subject_2,0
1,5,4,trial_96,subject_2,0
2,5,4,trial_97,subject_2,0
3,5,4,trial_98,subject_2,0
4,5,4,trial_99,subject_2,0
5,5,4,trial_100,subject_2,0
1,1,5,trial_101,subject_2,0
2,1,5,trial_102,subject_2,0
3,1,5,trial_103,subject_2,0
4,1,5,trial_104,subject_2,0
5,1,5,trial_105,subject_2,0
1,2,5,trial_106,subject_2,0
2,2,5,trial_107,subject_2,0
3,2,5,trial_108,subject_2,0
4,2,5,trial_109,subject_2,0
5,2,5,trial_110,subject_2,0
1,3,5,trial_111,subject_2,0
2,3,5,trial_112,subject_2,0
3,3,5,trial_113,subject_2,0
4,3,5,trial_114,subject_2,0
5,3,5,trial_115,subject_2,0
1,4,5,trial_116,subject_2,0
2,4,5,trial_117,subject_2,0
3,4,5,trial_118,subject_2,0
4,4,5,trial_119,subject_2,0
5,4,5,trial_120,subject_2,0
1,5,5,trial_121,subject_2,0
2,5,5,trial_122,subject_2,0
3,5,5,trial_123,subject_2,0
4,5,5,trial_124,subject_2,0
5,5,5,trial_125,subject_2,0
1,1,1,trial_1,subject_3,0
2,1,1,trial_2,subject_3,1
3,1,1,trial_3,subject_3,1
4,1,1,trial_4,subject_3,0
5,1,1,trial_5,subject_3,1
1,2,1,trial_6,subject_3,0
2,2,1,trial_7,subject_3,1
3,2,1,trial_8,subject_3,0
4,2,1,trial_9,subject_3,0
5,2,1,trial_10,subject_3,0
1,3,1,trial_11,subject_3,0
2,3,1,trial_12,subject_3,0
3,3,1,trial_13,subject_3,0
4,3,1,trial_14,subject_3,0
5,3,1,trial_15,subject_3,0
1,4,1,trial_16,subject_3,0
2,4,1,trial_17,subject_3,0
3,4,1,trial_18,subject_3,0
4,4,1,trial_19,subject_3,0
5,4,1,trial_20,subject_3,0
1,5,1,trial_21,subject_3,0
2,5,1,trial_22,subject_3,0
3,5,1,trial_23,subject_3,0
4,5,1,trial_24,subject_3,0
5,5,1,trial_25,subject_3,0
1,1,2,trial_26,subject_3,0
2,1,2,trial_27,subject_3,0
3,1,2,trial_28,subject_3,0
4,1,2,trial_29,subject_3,0
5,1,2,trial_30,subject_3,0
1,2,2,trial_31,subject_3,0
2,2,2,trial_32,subject_3,0
3,2,2,trial_33,subject_3,0
4,2,2,trial_34,subject_3,0
5,2,2,trial_35,subject_3,0
1,3,2,trial_36,subject_3,0
2,3,2,trial_37,subject_3,0
3,3,2,trial_38,subject_3,0
4,3,2,trial_39,subject_3,0
5,3,2,trial_40,subject_3,0
1,4,2,trial_41,subject_3,0
2,4,2,trial_42,subject_3,0
3,4,2,trial_43,subject_3,0
4,4,2,trial_44,subject_3,0
